Year,Global_Prevalence,MENA_Prevalence,MENA_Conflict_Subgroup,Lebanon_Prevalence
2000,10.07,24.97,32.16,28.46
2001,10.2,25.33,32.84,28.78
2002,10.41,25.87,32.78,28.96
2003,10.76,25.76,32.92,29.48
2004,10.81,26.58,33.57,29.78
2005,11.42,26.85,34.27,30.32
2006,11.36,27.3,34.41,31.41
2007,11.59,27.6,35.0,32.41
2008,11.92,27.83,35.81,32.03
2009,12.19,28.03,35.72,33.01
2010,12.51,28.83,36.47,33.41
2011,12.42,29.04,36.83,34.37
2012,12.93,29.21,37.48,34.48
2013,13.02,30.06,38.11,35.43
2014,13.23,30.26,38.38,35.99
2015,13.53,30.66,38.47,35.89
2016,13.96,31.35,39.18,37.1
2017,14.13,31.33,39.74,37.81
2018,14.31,32.15,39.45,38.15
2019,14.57,32.16,40.57,43.35
2020,14.77,32.67,41.37,48.04
2021,14.92,32.88,41.68,45.45
2022,15.2,33.46,41.92,43.59
2023,15.41,33.67,45.45,44.31
2024,15.8,34.17,48.8,52.63
2025,15.79,34.42,49.16,49.31
2026,16.22,34.96,54.67,55.55
